Country,Organization
"Academies, learned societies, and their associations, and associations of researchers",AMASES (Association for Mathematics Applied to Social and Economic Sciences)
"Academies, learned societies, and their associations, and associations of researchers",Academy of Economic Studies of Moldova
"Academies, learned societies, and their associations, and associations of researchers",Irish Research Staff Association
"Academies, learned societies, and their associations, and associations of researchers",Turkish Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers",Society of Spanish Researchers in the United Kingdom (SRUK/CERU)
"Academies, learned societies, and their associations, and associations of researchers","Italian Academy of Business Administration, Organization and Management"
"Academies, learned societies, and their associations, and associations of researchers",European Geosciences Union
"Academies, learned societies, and their associations, and associations of researchers",Lithuanian Society for Infectious Diseases
"Academies, learned societies, and their associations, and associations of researchers",Hungarian Young Academy
"Academies, learned societies, and their associations, and associations of researchers",Brazilian Reproducibility Network
"Academies, learned societies, and their associations, and associations of researchers",Peruvian society of science and innovation
"Academies, learned societies, and their associations, and associations of researchers",Moldova Young Academy
"Academies, learned societies, and their associations, and associations of researchers",Assistant Professor Network Netherlands
"Academies, learned societies, and their associations, and associations of researchers","ACEDE, Spanish Academy of Management"
"Academies, learned societies, and their associations, and associations of researchers",International Federation of Scholarly Associations of Management
"Academies, learned societies, and their associations, and associations of researchers",International Sustainable Development Research Society
"Academies, learned societies, and their associations, and associations of researchers",Lithuanian Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers","German Association for Psychiatry, Psychotherapy and Psychosomatics"
"Academies, learned societies, and their associations, and associations of researchers",Italian Society of the History of Philosophy
"Academies, learned societies, and their associations, and associations of researchers",GRISOF - Groupe  de reflexion et d'Information en Science Ouverte Francophone
"Academies, learned societies, and their associations, and associations of researchers",European Society for Anesthesiology and Intensive cAre
"Academies, learned societies, and their associations, and associations of researchers",Italian Association of Psychology (AIP)
"Academies, learned societies, and their associations, and associations of researchers",The Estonian Young Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers",Czech Association of Doctoral Researchers
"Academies, learned societies, and their associations, and associations of researchers",the Young Academy of Sweden
"Academies, learned societies, and their associations, and associations of researchers",Swiss Reproducibility Network
"Academies, learned societies, and their associations, and associations of researchers",Association for Interdisciplinary Meta-Research and Open Science
"Academies, learned societies, and their associations, and associations of researchers",Austrian Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers",Petre Shotadze Tbilisi Medical Academy
"Academies, learned societies, and their associations, and associations of researchers",Sociedad Científica de Bibliometría y Cienciometría
"Academies, learned societies, and their associations, and associations of researchers",Lithuanian Sociological Association
"Academies, learned societies, and their associations, and associations of researchers",EMBO
"Academies, learned societies, and their associations, and associations of researchers",Zimbabwe Young Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers",European Civil Society Platform for Multilingualism
"Academies, learned societies, and their associations, and associations of researchers",Deutsche Gesellschaft für Psychologie (DGPs)
"Academies, learned societies, and their associations, and associations of researchers",Swiss Academies of Arts and Sciences
"Academies, learned societies, and their associations, and associations of researchers",Hungarian Academy of Sciences
"Academies, learned societies, and their associations, and associations of researchers",Polish Young Academy (of Polish Academy of Sciences)
"Academies, learned societies, and their associations, and associations of researchers",The Strzemiński Academy of Fine Arts Łódź
"Academies, learned societies, and their associations, and associations of researchers",GRIN -- GRuppo di INformatica
"Academies, learned societies, and their associations, and associations of researchers",Swedish Reproducibility Network
"Academies, learned societies, and their associations, and associations of researchers",Wageningen Young Academy
"Academies, learned societies, and their associations, and associations of researchers",Instytut Slawistyki Polskiej Akademii Nauk
"Academies, learned societies, and their associations, and associations of researchers",European Society for Cognitive and Affective Neuroscience
